Name of District,Name of Province,Name of Division,Settlement_Weighted,Agriculture_Livestock_Weighted,Housing_Amenities_Weighted,Infrastructure_Services_Weighted,Education_Weighted,Health_Weighted,Recreation_Sports_Weighted,Social_Community_Weighted,Industry_Weighted,Credit_Finance_Weighted,Disaster_Resilience_Weighted,Composite_Weighted_Score
KARAK DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,2.333333333333333,3.5199999999999996,5.266666666666667,7.039999999999999,13.799999999999999,9.4,1.2333333333333336,0.9999999999999998,3.786666666666667,2.7,1.3066666666666666,51.38666666666666
KOHAT DISTRICT,KHYBER PAKHTUNKHWA,KOHAT DIVISION,2.4666666666666672,4.16,5.2,8.16,11.000000000000002,6.2,3.4333333333333336,3.6799999999999997,3.3600000000000008,3.7666666666666666,1.0,52.42666666666667
BUNER DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,4.333333333333334,3.9199999999999995,4.6000000000000005,8.959999999999999,12.4,12.500000000000002,2.966666666666667,4.4399999999999995,7.36,2.8333333333333335,0.06666666666666665,64.38
CHITRAL LOWER,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,4.133333333333334,1.44,3.933333333333333,5.359999999999999,6.300000000000001,5.2,2.6333333333333333,5.88,4.693333333333333,3.2666666666666666,1.96,44.800000000000004
CHITRAL UPPER,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,2.4000000000000004,4.24,2.6666666666666674,2.6399999999999997,5.800000000000001,5.500000000000001,4.033333333333333,5.959999999999999,6.773333333333333,3.8666666666666667,2.0,45.88
LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,9.133333333333333,4.96,5.133333333333333,7.119999999999999,6.599999999999999,6.5,2.6,5.56,5.6000000000000005,4.266666666666667,1.386666666666667,58.86000000000001
MALAKAND PROTECTED AREA,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,1.5333333333333332,8.079999999999998,9.933333333333334,11.919999999999998,15.0,15.0,4.366666666666666,5.279999999999999,8.0,2.1999999999999997,0.28,81.59333333333333
SHANGLA DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,3.733333333333333,2.88,6.466666666666668,5.919999999999999,10.700000000000001,8.2,0.5666666666666664,5.4799999999999995,2.506666666666667,4.0,1.8666666666666667,52.32
SWAT DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,6.333333333333333,2.3200000000000003,7.800000000000001,11.12,13.5,12.799999999999999,3.9000000000000004,4.68,4.533333333333333,1.2000000000000002,0.8,68.98666666666666
UPPER DIR DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,8.8,0.3199999999999994,3.4000000000000004,4.4,4.8999999999999995,4.1,1.8,5.4399999999999995,7.093333333333334,4.1000000000000005,1.68,46.03333333333334
