Name of District,Name of Province,Name of Division,Total Number of Settlements,Total Villages,Development_Index,Housing_Score,Electricity_Score,Water_Score,Sanitation_Score,Connectivity_Score
ATTOCK DISTRICT,PUNJAB,RAWALPINDI DIVISION,942,452,0.5516523549458757,0.433255269320843,0.97423887587822,0.943793911007026,0.498829039879391,0.936768149882904
KHANEWAL DISTRICT,PUNJAB,MULTAN DIVISION,1822,675,0.5399408284326103,0.408284023668639,0.918639053254438,0.86094674556213,0.517011834213018,0.9164201183431955
CHINIOT DISTRICT,PUNJAB,FAISALABAD DIVISION,566,361,0.5379636260753473,0.383098591549296,0.901408450704226,0.985915492957746,0.4221094931168935,0.929454125885255
CHITRAL UPPER,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,485,162,0.5301783265294926,0.0123456790123456,0.919753086358025,1.0,0.487654321234568,0.8549382716049385
HYDERABAD DISTRICT,SINDH,HYDERABAD DIVISION,915,83,0.5185185185075446,0.098765432,0.8765432098765431,0.802469135802469,0.5061728395061725,0.975308641975309
BAHAWALPUR DISTRICT,PUNJAB,BAHAWALPUR DIVISION,2691,709,0.518204645314501,0.436440677966102,0.9392655367231639,0.655367232,0.5014124291723165,0.940677965861582
NAUSHAHRO FEROZE DISTRICT,SINDH,SHAHEED BENAZIRABAD DIVISION,1191,230,0.5175565175666186,0.060606061,0.7878787878787881,0.930735930735931,0.545454545435065,0.9372294372294374
LOWER DIR DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,1794,1051,0.5164107196354513,0.046973803,0.894308943089431,0.982836495,0.48870822049593504,0.8532068654019875
RAHIM YAR KHAN DISTRICT,PUNJAB,BAHAWALPUR DIVISION,6125,1129,0.5114416540542107,0.452879581151832,0.9459459459459459,0.579268292682927,0.4834134038779425,0.9380761863028371
BHAKKAR DISTRICT,PUNJAB,SARGODHA DIVISION,1358,541,0.5109150246913738,0.332699619771863,0.7855787473965841,1.0,0.489563567605313,0.9316292811740174
SHANGLA DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,827,110,0.5025025025065066,0.009009009,0.5855855855855849,0.972972973,0.5585585585765764,0.8603603603828831
BUNER DISTRICT,KHYBER PAKHTUNKHWA,MALAKAND DIVISION,537,166,0.5006693440589023,0.096385542,0.843373493975904,0.963855422,0.566265060240964,0.8765060240963856
NEELUM DISTRICT,AZAD JAMMU AND KASHMIR,MUZAFARABAD DIVISION,369,88,0.5,0.0,0.840909091363636,1.0,0.4943181818181819,0.6818181818181821
